EQUITY TABLE
TRADE,SYMBOL,TYPE,ENTRY DATE,ENTRY PRICE,EXIT DATE,EXIT PRICE,PL/CNTR,RISK/CNTR,DELTA,CONTRACTS,COSTS,POS PL,MARGIN,DRAWDOWN,EQUITY
59,     ,Regular,23/04/2018, ,23/04/2018, ,"-205,12",NA,"54080,",3,"0,00","-615,36","153.450,00","1.756 (0,247)","709.105,30"
60,     ,Regular,24/04/2018, ,24/04/2018, ,"-119,42",NA,"54080,",3,"0,00","-358,26","153.450,00","2.115 (0,297)","708.747,04"
61,     ,Regular,25/04/2018, ,25/04/2018, ,"-1.048,73",NA,"54080,",3,"0,00","-3.146,19","153.450,00","5.261 (0,740)","705.600,85"
62,     ,Regular,26/04/2018, ,26/04/2018, ,"-616,90",NA,"54080,",3,"0,00","-1.850,70","153.450,00","7.111 (1,00)","703.750,15"
63,     ,Regular,27/04/2018, ,27/04/2018, ,"16,72",NA,"54080,",3,"0,00","50,16","153.450,00","7.061 (0,993)","703.800,31"
64,     ,Regular,30/04/2018, ,30/04/2018, ,"119,08",NA,"54080,",3,"0,00","357,24","153.450,00","6.704 (0,943)","704.157,55"
65,     ,Regular,01/05/2018, ,01/05/2018, ,"-28,83",NA,"54080,",3,"0,00","-86,49","153.450,00","6.791 (0,955)","704.071,06"
66,     ,Regular,02/05/2018, ,02/05/2018, ,"-645,76",NA,"54080,",3,"0,00","-1.937,28","153.450,00","8.728 (1,23)","702.133,78"
67,     ,Regular,03/05/2018, ,03/05/2018, ,"1.921,05",NA,"54080,",3,"0,00","5.763,15","153.450,00","2.965 (0,417)","707.896,93"
68,     ,Regular,04/05/2018, ,04/05/2018, ,"-594,86",NA,"54080,",3,"0,00","-1.784,58","153.450,00","4.749 (0,668)","706.112,35"
69,     ,Regular,07/05/2018, ,07/05/2018, ,"-46,31",NA,"54080,",3,"0,00","-138,93","153.450,00","4.888 (0,688)","705.973,42"
70,     ,Regular,08/05/2018, ,08/05/2018, ,"180,62",NA,"54080,",3,"0,00","541,86","153.450,00","4.346 (0,611)","706.515,28"
71,     ,Regular,09/05/2018, ,09/05/2018, ,"-507,23",NA,"54080,",3,"0,00","-1.521,69","153.450,00","5.868 (0,825)","704.993,59"
72,     ,Regular,10/05/2018, ,10/05/2018, ,"-1.104,53",NA,"54080,",3,"0,00","-3.313,59","153.450,00","9.182 (1,29)","701.680,00"
73,     ,Regular,11/05/2018, ,11/05/2018, ,"-521,71",NA,"54080,",3,"0,00","-1.565,13","153.450,00","10.747 (1,51)","700.114,87"
74,     ,Regular,14/05/2018, ,14/05/2018, ,"610,64",NA,"54080,",3,"0,00","1.831,92","153.450,00","8.915 (1,25)","701.946,79"
75,     ,Regular,15/05/2018, ,15/05/2018, ,"-946,17",NA,"54080,",3,"0,00","-2.838,51","153.450,00","11.753 (1,65)","699.108,28"
76,     ,Regular,16/05/2018, ,16/05/2018, ,"937,13",NA,"54080,",3,"0,00","2.811,39","153.450,00","8.942 (1,26)","701.919,67"
77,     ,Regular,18/05/2018, ,18/05/2018, ,"1.565,76",NA,"54080,",3,"0,00","4.697,28","153.450,00","4.245 (0,597)","706.616,95"
78,     ,Regular,21/05/2018, ,21/05/2018, ,"1.279,57",NA,"54080,",3,"0,00","3.838,71","153.450,00","406 (0,0571)","710.455,66"
79,     ,Regular,22/05/2018, ,22/05/2018, ,"403,90",NA,"54080,",3,"0,00","1.211,70","153.450,00","0 (0,00)","711.667,36"
80,     ,Regular,23/05/2018, ,23/05/2018, ,"-192,25",NA,"54080,",3,"0,00","-576,75","153.450,00","577 (0,0810)","711.090,61"
81,     ,Regular,24/05/2018, ,24/05/2018, ,"778,74",NA,"54080,",3,"0,00","2.336,22","153.450,00","0 (0,00)","713.426,83"
82,     ,Regular,28/05/2018, ,28/05/2018, ,"-254,14",NA,"54080,",3,"0,00","-762,42","153.450,00","762 (0,107)","712.664,41"
83,     ,Regular,29/05/2018, ,29/05/2018, ,"-1.002,94",NA,"54080,",3,"0,00","-3.008,82","153.450,00","3.771 (0,529)","709.655,59"
84,     ,Regular,30/05/2018, ,30/05/2018, ,"325,91",NA,"54080,",3,"0,00","977,73","153.450,00","2.794 (0,392)","710.633,32"
85,     ,Regular,31/05/2018, ,31/05/2018, ,"291,52",NA,"54080,",3,"0,00","874,56","153.450,00","1.919 (0,269)","711.507,88"
86,     ,Regular,04/06/2018, ,04/06/2018, ,"-594,86",NA,"54080,",3,"0,00","-1.784,58","153.450,00","3.704 (0,519)","709.723,30"
87,     ,Regular,05/06/2018, ,05/06/2018, ,"311,22",NA,"54080,",3,"0,00","933,66","153.450,00","2.770 (0,388)","710.656,96"
88,     ,Regular,06/06/2018, ,06/06/2018, ,"1.705,74",NA,"54080,",3,"0,00","5.117,22","153.450,00","0 (0,00)","715.774,18"
89,     ,Regular,07/06/2018, ,07/06/2018, ,"1.181,19",NA,"54080,",3,"0,00","3.543,57","153.450,00","0 (0,00)","719.317,75"
90,     ,Regular,08/06/2018, ,08/06/2018, ,"-787,10",NA,"54080,",3,"0,00","-2.361,30","153.450,00","2.361 (0,328)","716.956,45"
91,     ,Regular,11/06/2018, ,11/06/2018, ,"246,58",NA,"54080,",3,"0,00","739,74","153.450,00","1.622 (0,225)","717.696,19"
92,     ,Regular,12/06/2018, ,12/06/2018, ,"-622,66",NA,"54080,",3,"0,00","-1.867,98","153.450,00","3.490 (0,485)","715.828,21"
93,     ,Regular,13/06/2018, ,13/06/2018, ,"-1.421,64",NA,"54080,",3,"0,00","-4.264,92","153.450,00","7.754 (1,08)","711.563,29"
94,     ,Regular,14/06/2018, ,14/06/2018, ,"2.386,57",NA,"54080,",3,"0,00","7.159,71","153.450,00","595 (0,0827)","718.723,00"
95,     ,Regular,19/06/2018, ,19/06/2018, ,"435,28",NA,"54080,",3,"0,00","1.305,84","153.450,00","0 (0,00)","720.028,84"
96,     ,Regular,20/06/2018, ,20/06/2018, ,"-6,80",NA,"54080,",3,"0,00","-20,40","153.450,00","20 (0,00283)","720.008,44"
97,     ,Regular,22/06/2018, ,22/06/2018, ,"487,19",NA,"54080,",3,"0,00","1.461,57","153.450,00","0 (0,00)","721.470,01"
98,     ,Regular,25/06/2018, ,25/06/2018, ,"-589,92",NA,"54080,",3,"0,00","-1.769,76","153.450,00","1.770 (0,245)","719.700,25"
99,     ,Regular,26/06/2018, ,26/06/2018, ,"577,51",NA,"54080,",3,"0,00","1.732,53","153.450,00","37 (0,00516)","721.432,78"
100,     ,Regular,27/06/2018, ,27/06/2018, ,"-104,23",NA,"54080,",3,"0,00","-312,69","153.450,00","350 (0,0485)","721.120,09"
101,     ,Regular,28/06/2018, ,28/06/2018, ,"453,35",NA,"54080,",3,"0,00","1.360,05","153.450,00","0 (0,00)","722.480,14"
102,     ,Regular,29/06/2018, ,29/06/2018, ,"764,25",NA,"54080,",3,"0,00","2.292,75","153.450,00","0 (0,00)","724.772,89"
103,     ,Regular,02/07/2018, ,02/07/2018, ,"-7,56",NA,"54080,",3,"0,00","-22,68","153.450,00","23 (0,00313)","724.750,21"
104,     ,Regular,03/07/2018, ,03/07/2018, ,"586,98",NA,"54080,",3,"0,00","1.760,94","153.450,00","0 (0,00)","726.511,15"
105,     ,Regular,05/07/2018, ,05/07/2018, ,"232,43",NA,"54080,",3,"0,00","697,29","153.450,00","0 (0,00)","727.208,44"
106,     ,Regular,06/07/2018, ,06/07/2018, ,"-220,61",NA,"54080,",3,"0,00","-661,83","153.450,00","662 (0,0910)","726.546,61"
107,     ,Regular,09/07/2018, ,09/07/2018, ,"-1.103,73",NA,"54080,",3,"0,00","-3.311,19","153.450,00","3.973 (0,546)","723.235,42"
108,     ,Regular,10/07/2018, ,10/07/2018, ,"36,40",NA,"54080,",3,"0,00","109,20","153.450,00","3.864 (0,531)","723.344,62"
109,     ,Regular,11/07/2018, ,11/07/2018, ,"-82,73",NA,"54080,",3,"0,00","-248,19","153.450,00","4.112 (0,565)","723.096,43"
110,     ,Regular,12/07/2018, ,12/07/2018, ,"39,50",NA,"54080,",3,"0,00","118,50","153.450,00","3.994 (0,549)","723.214,93"
111,     ,Regular,13/07/2018, ,13/07/2018, ,"256,05",NA,"54080,",3,"0,00","768,15","153.450,00","3.225 (0,444)","723.983,08"
112,     ,Regular,16/07/2018, ,16/07/2018, ,"241,45",NA,"54080,",3,"0,00","724,35","153.450,00","2.501 (0,344)","724.707,43"
113,     ,Regular,17/07/2018, ,17/07/2018, ,"296,93",NA,"54080,",3,"0,00","890,79","153.450,00","1.610 (0,221)","725.598,22"
114,     ,Regular,19/07/2018, ,19/07/2018, ,"1.148,20",NA,"54080,",3,"0,00","3.444,60","153.450,00","0 (0,00)","729.042,82"
115,     ,Regular,20/07/2018, ,20/07/2018, ,"-4,18",NA,"54080,",3,"0,00","-12,54","153.450,00","13 (0,00172)","729.030,28"
116,     ,Regular,23/07/2018, ,23/07/2018, ,"-1.062,29",NA,"54080,",3,"0,00","-3.186,87","153.450,00","3.199 (0,439)","725.843,41"
117,     ,Regular,25/07/2018, ,25/07/2018, ,"94,32",NA,"54080,",3,"0,00","282,96","153.450,00","2.916 (0,400)","726.126,37"
118,     ,Regular,26/07/2018, ,26/07/2018, ,"-150,80",NA,"54080,",3,"0,00","-452,40","153.450,00","3.369 (0,462)","725.673,97"
119,     ,Regular,27/07/2018, ,27/07/2018, ,"568,97",NA,"54080,",3,"0,00","1.706,91","153.450,00","1.662 (0,228)","727.380,88"
120,     ,Regular,30/07/2018, ,30/07/2018, ,"-109,35",NA,"54080,",3,"0,00","-328,05","153.450,00","1.990 (0,273)","727.052,83"
121,     ,Regular,31/07/2018, ,31/07/2018, ,"-295,29",NA,"54080,",3,"0,00","-885,87","153.450,00","2.876 (0,394)","726.166,96"
122,     ,Regular,01/08/2018, ,01/08/2018, ,"360,88",NA,"54080,",3,"0,00","1.082,64","153.450,00","1.793 (0,246)","727.249,60"
123,     ,Regular,02/08/2018, ,02/08/2018, ,"-265,48",NA,"54080,",3,"0,00","-796,44","153.450,00","2.590 (0,355)","726.453,16"
124,     ,Regular,03/08/2018, ,03/08/2018, ,"-473,66",NA,"54080,",3,"0,00","-1.420,98","153.450,00","4.011 (0,550)","725.032,18"
125,     ,Regular,06/08/2018, ,06/08/2018, ,"222,94",NA,"54080,",3,"0,00","668,82","153.450,00","3.342 (0,458)","725.701,00"
126,     ,Regular,07/08/2018, ,07/08/2018, ,"-665,12",NA,"54080,",3,"0,00","-1.995,36","153.450,00","5.337 (0,732)","723.705,64"
127,     ,Regular,08/08/2018, ,08/08/2018, ,"331,53",NA,"54080,",3,"0,00","994,59","153.450,00","4.343 (0,596)","724.700,23"
128,     ,Regular,09/08/2018, ,09/08/2018, ,"380,06",NA,"54080,",3,"0,00","1.140,18","153.450,00","3.202 (0,439)","725.840,41"
129,     ,Regular,10/08/2018, ,10/08/2018, ,"-622,46",NA,"54080,",3,"0,00","-1.867,38","153.450,00","5.070 (0,695)","723.973,03"
130,     ,Regular,13/08/2018, ,13/08/2018, ,"711,37",NA,"54080,",3,"0,00","2.134,11","153.450,00","2.936 (0,403)","726.107,14"
131,     ,Regular,14/08/2018, ,14/08/2018, ,"491,33",NA,"54080,",3,"0,00","1.473,99","153.450,00","1.462 (0,200)","727.581,13"
132,     ,Regular,16/08/2018, ,16/08/2018, ,"-579,42",NA,"54080,",3,"0,00","-1.738,26","153.450,00","3.200 (0,439)","725.842,87"
133,     ,Regular,17/08/2018, ,17/08/2018, ,"168,19",NA,"54080,",3,"0,00","504,57","153.450,00","2.695 (0,370)","726.347,44"
134,     ,Regular,22/08/2018, ,22/08/2018, ,"-275,83",NA,"54080,",3,"0,00","-827,49","153.450,00","3.523 (0,483)","725.519,95"
135,     ,Regular,24/08/2018, ,24/08/2018, ,"-338,52",NA,"54080,",3,"0,00","-1.015,56","153.450,00","4.538 (0,623)","724.504,39"
136,     ,Regular,27/08/2018, ,27/08/2018, ,"1.380,95",NA,"54080,",3,"0,00","4.142,85","153.450,00","396 (0,0543)","728.647,24"
137,     ,Regular,28/08/2018, ,28/08/2018, ,"138,62",NA,"54080,",3,"0,00","415,86","153.450,00","0 (0,00)","729.063,10"
138,     ,Regular,29/08/2018, ,29/08/2018, ,"-476,31",NA,"54080,",3,"0,00","-1.428,93","153.450,00","1.429 (0,196)","727.634,17"
139,     ,Regular,30/08/2018, ,30/08/2018, ,"181,47",NA,"54080,",3,"0,00","544,41","153.450,00","885 (0,121)","728.178,58"
140,     ,Regular,31/08/2018, ,31/08/2018, ,"424,15",NA,"54080,",3,"0,00","1.272,45","153.450,00","0 (0,00)","729.451,03"
141,     ,Regular,03/09/2018, ,03/09/2018, ,"-727,50",NA,"54080,",3,"0,00","-2.182,50","153.450,00","2.183 (0,299)","727.268,53"
142,     ,Regular,04/09/2018, ,04/09/2018, ,"-578,14",NA,"54080,",3,"0,00","-1.734,42","153.450,00","3.917 (0,537)","725.534,11"
143,     ,Regular,05/09/2018, ,05/09/2018, ,"-1.245,85",NA,"54080,",3,"0,00","-3.737,55","153.450,00","7.654 (1,05)","721.796,56"
144,     ,Regular,06/09/2018, ,06/09/2018, ,"1.690,21",NA,"54080,",3,"0,00","5.070,63","153.450,00","2.584 (0,354)","726.867,19"
145,     ,Regular,07/09/2018, ,07/09/2018, ,"582,47",NA,"54080,",3,"0,00","1.747,41","153.450,00","836 (0,115)","728.614,60"
146,     ,Regular,10/09/2018, ,10/09/2018, ,"628,21",NA,"54080,",3,"0,00","1.884,63","153.450,00","0 (0,00)","730.499,23"
147,     ,Regular,11/09/2018, ,11/09/2018, ,"-74,63",NA,"54080,",3,"0,00","-223,89","153.450,00","224 (0,0306)","730.275,34"
148,     ,Regular,17/09/2018, ,17/09/2018, ,"-88,65",NA,"54080,",3,"0,00","-265,95","153.450,00","490 (0,0671)","730.009,39"
149,     ,Regular,18/09/2018, ,18/09/2018, ,"238,04",NA,"54080,",3,"0,00","714,12","153.450,00","0 (0,00)","730.723,51"
150,     ,Regular,19/09/2018, ,19/09/2018, ,"43,91",NA,"54080,",3,"0,00","131,73","153.450,00","0 (0,00)","730.855,24"
151,     ,Regular,21/09/2018, ,21/09/2018, ,"394,03",NA,"54080,",3,"0,00","1.182,09","153.450,00","0 (0,00)","732.037,33"
152,     ,Regular,27/09/2018, ,27/09/2018, ,"835,23",NA,"54080,",3,"0,00","2.505,69","153.450,00","0 (0,00)","734.543,02"
153,     ,Regular,28/09/2018, ,28/09/2018, ,"-594,07",NA,"54080,",3,"0,00","-1.782,21","153.450,00","1.782 (0,243)","732.760,81"
154,     ,Regular,02/10/2018, ,02/10/2018, ,"-589,92",NA,"54080,",3,"0,00","-1.769,76","153.450,00","3.552 (0,484)","730.991,05"
155,     ,Regular,03/10/2018, ,03/10/2018, ,"164,05",NA,"54080,",3,"0,00","492,15","153.450,00","3.060 (0,417)","731.483,20"
156,     ,Regular,04/10/2018, ,04/10/2018, ,"-594,07",NA,"54080,",3,"0,00","-1.782,21","153.450,00","4.842 (0,659)","729.700,99"
157,     ,Regular,05/10/2018, ,05/10/2018, ,"1.449,53",NA,"54080,",3,"0,00","4.348,59","153.450,00","493 (0,0672)","734.049,58"
158,     ,Regular,08/10/2018, ,08/10/2018, ,"281,66",NA,"54080,",3,"0,00","844,98","153.450,00","0 (0,00)","734.894,56"
159,     ,Regular,09/10/2018, ,09/10/2018, ,"751,18",NA,"54080,",3,"0,00","2.253,54","153.450,00","0 (0,00)","737.148,10"
160,     ,Regular,11/10/2018, ,11/10/2018, ,"2.009,51",NA,"54080,",3,"0,00","6.028,53","153.450,00","0 (0,00)","743.176,63"
161,     ,Regular,12/10/2018, ,12/10/2018, ,"2.212,28",NA,"54080,",3,"0,00","6.636,84","153.450,00","0 (0,00)","749.813,47"
162,     ,Regular,15/10/2018, ,15/10/2018, ,"204,78",NA,"54080,",3,"0,00","614,34","153.450,00","0 (0,00)","750.427,81"
163,     ,Regular,16/10/2018, ,16/10/2018, ,"3.171,76",NA,"54080,",3,"0,00","9.515,28","153.450,00","0 (0,00)","759.943,09"
164,     ,Regular,17/10/2018, ,17/10/2018, ,"-176,49",NA,"54080,",3,"0,00","-529,47","153.450,00","529 (0,0697)","759.413,62"
165,     ,Regular,18/10/2018, ,18/10/2018, ,"4.956,37",NA,"54080,",3,"0,00","14.869,11","153.450,00","0 (0,00)","774.282,73"
166,     ,Regular,19/10/2018, ,19/10/2018, ,"207,76",NA,"54080,",3,"0,00","623,28","153.450,00","0 (0,00)","774.906,01"
167,     ,Regular,22/10/2018, ,22/10/2018, ,"3.203,43",NA,"54080,",3,"0,00","9.610,29","153.450,00","0 (0,00)","784.516,30"
168,     ,Regular,23/10/2018, ,23/10/2018, ,"-2.208,99",NA,"54080,",4,"0,00","-8.835,96","204.600,00","8.836 (1,13)","775.680,34"
169,     ,Regular,24/10/2018, ,24/10/2018, ,"182,35",NA,"54080,",3,"0,00","547,05","153.450,00","8.289 (1,06)","776.227,39"
170,     ,Regular,25/10/2018, ,25/10/2018, ,"336,47",NA,"54080,",3,"0,00","1.009,41","153.450,00","7.280 (0,928)","777.236,80"
171,     ,Regular,26/10/2018, ,26/10/2018, ,"-3.228,31",NA,"54080,",3,"0,00","-9.684,93","153.450,00","16.964 (2,16)","767.551,87"
172,     ,Regular,29/10/2018, ,29/10/2018, ,"-492,39",NA,"54080,",3,"0,00","-1.477,17","153.450,00","18.442 (2,35)","766.074,70"
173,     ,Regular,30/10/2018, ,30/10/2018, ,"512,07",NA,"54080,",3,"0,00","1.536,21","153.450,00","16.905 (2,15)","767.610,91"
174,     ,Regular,31/10/2018, ,31/10/2018, ,"100,30",NA,"54080,",3,"0,00","300,90","153.450,00","16.604 (2,12)","767.911,81"
175,     ,Regular,01/11/2018, ,01/11/2018, ,"2.260,78",NA,"54080,",3,"0,00","6.782,34","153.450,00","9.822 (1,25)","774.694,15"
176,     ,Regular,02/11/2018, ,02/11/2018, ,"1.307,72",NA,"54080,",3,"0,00","3.923,16","153.450,00","5.899 (0,752)","778.617,31"
177,     ,Regular,05/11/2018, ,05/11/2018, ,"-359,42",NA,"54080,",3,"0,00","-1.078,26","153.450,00","6.977 (0,889)","777.539,05"
178,     ,Regular,06/11/2018, ,06/11/2018, ,"-615,82",NA,"54080,",3,"0,00","-1.847,46","153.450,00","8.825 (1,12)","775.691,59"
179,     ,Regular,07/11/2018, ,07/11/2018, ,"646,17",NA,"54080,",3,"0,00","1.938,51","153.450,00","6.886 (0,878)","777.630,10"
180,     ,Regular,08/11/2018, ,08/11/2018, ,"113,04",NA,"54080,",3,"0,00","339,12","153.450,00","6.547 (0,835)","777.969,22"
181,     ,Regular,09/11/2018, ,09/11/2018, ,"-691,45",NA,"54080,",3,"0,00","-2.074,35","153.450,00","8.621 (1,10)","775.894,87"
