EQUITY TABLE
TRADE,SYMBOL,TYPE,ENTRY DATE,ENTRY PRICE,EXIT DATE,EXIT PRICE,PL/CNTR,RISK/CNTR,DELTA,CONTRACTS,COSTS,POS PL,MARGIN,DRAWDOWN,EQUITY
14,     ,Regular,25/02/2016, ,25/02/2016, ,"206,65",NA,"58750,",3,"0,00","619,95","153.450,00","1.137 (0,246)","461.171,56"
15,     ,Regular,26/02/2016, ,26/02/2016, ,"178,52",NA,"58750,",3,"0,00","535,56","153.450,00","602 (0,130)","461.707,12"
16,     ,Regular,29/02/2016, ,29/02/2016, ,"-598,21",NA,"58750,",3,"0,00","-1.794,63","153.450,00","2.396 (0,518)","459.912,49"
17,     ,Regular,01/03/2016, ,01/03/2016, ,"570,04",NA,"58750,",3,"0,00","1.710,12","153.450,00","686 (0,148)","461.622,61"
18,     ,Regular,02/03/2016, ,02/03/2016, ,"-783,08",NA,"58750,",3,"0,00","-2.349,24","153.450,00","3.036 (0,657)","459.273,37"
19,     ,Regular,03/03/2016, ,03/03/2016, ,"972,02",NA,"58750,",3,"0,00","2.916,06","153.450,00","120 (0,0259)","462.189,43"
20,     ,Regular,04/03/2016, ,04/03/2016, ,"1.732,44",NA,"58750,",3,"0,00","5.197,32","153.450,00","0 (0,00)","467.386,75"
21,     ,Regular,07/03/2016, ,07/03/2016, ,"-353,95",NA,"58750,",3,"0,00","-1.061,85","153.450,00","1.062 (0,227)","466.324,90"
22,     ,Regular,09/03/2016, ,09/03/2016, ,"450,36",NA,"58750,",3,"0,00","1.351,08","153.450,00","0 (0,00)","467.675,98"
23,     ,Regular,10/03/2016, ,10/03/2016, ,"582,20",NA,"58750,",3,"0,00","1.746,60","153.450,00","0 (0,00)","469.422,58"
24,     ,Regular,14/03/2016, ,14/03/2016, ,"518,23",NA,"58750,",3,"0,00","1.554,69","153.450,00","0 (0,00)","470.977,27"
25,     ,Regular,15/03/2016, ,15/03/2016, ,"427,62",NA,"58750,",3,"0,00","1.282,86","153.450,00","0 (0,00)","472.260,13"
26,     ,Regular,17/03/2016, ,17/03/2016, ,"-390,28",NA,"58750,",3,"0,00","-1.170,84","153.450,00","1.171 (0,248)","471.089,29"
27,     ,Regular,18/03/2016, ,18/03/2016, ,"-132,28",NA,"58750,",3,"0,00","-396,84","153.450,00","1.568 (0,332)","470.692,45"
28,     ,Regular,21/03/2016, ,21/03/2016, ,"454,38",NA,"58750,",3,"0,00","1.363,14","153.450,00","205 (0,0433)","472.055,59"
29,     ,Regular,22/03/2016, ,22/03/2016, ,"-195,30",NA,"58750,",3,"0,00","-585,90","153.450,00","790 (0,167)","471.469,69"
30,     ,Regular,23/03/2016, ,23/03/2016, ,"1.322,56",NA,"58750,",3,"0,00","3.967,68","153.450,00","0 (0,00)","475.437,37"
31,     ,Regular,24/03/2016, ,24/03/2016, ,"-730,87",NA,"58750,",3,"0,00","-2.192,61","153.450,00","2.193 (0,461)","473.244,76"
32,     ,Regular,28/03/2016, ,28/03/2016, ,"-254,14",NA,"58750,",3,"0,00","-762,42","153.450,00","2.955 (0,622)","472.482,34"
33,     ,Regular,29/03/2016, ,29/03/2016, ,"3.412,42",NA,"58750,",3,"0,00","10.237,26","153.450,00","0 (0,00)","482.719,60"
34,     ,Regular,30/03/2016, ,30/03/2016, ,"468,62",NA,"58750,",3,"0,00","1.405,86","153.450,00","0 (0,00)","484.125,46"
35,     ,Regular,31/03/2016, ,31/03/2016, ,"616,78",NA,"58750,",3,"0,00","1.850,34","153.450,00","0 (0,00)","485.975,80"
36,     ,Regular,01/04/2016, ,01/04/2016, ,"545,58",NA,"58750,",3,"0,00","1.636,74","153.450,00","0 (0,00)","487.612,54"
37,     ,Regular,04/04/2016, ,04/04/2016, ,"492,34",NA,"58750,",3,"0,00","1.477,02","153.450,00","0 (0,00)","489.089,56"
38,     ,Regular,05/04/2016, ,05/04/2016, ,"-582,59",NA,"58750,",3,"0,00","-1.747,77","153.450,00","1.748 (0,357)","487.341,79"
39,     ,Regular,06/04/2016, ,06/04/2016, ,"-276,83",NA,"58750,",3,"0,00","-830,49","153.450,00","2.578 (0,527)","486.511,30"
40,     ,Regular,07/04/2016, ,07/04/2016, ,"168,89",NA,"58750,",3,"0,00","506,67","153.450,00","2.072 (0,424)","487.017,97"
41,     ,Regular,08/04/2016, ,08/04/2016, ,"651,06",NA,"58750,",3,"0,00","1.953,18","153.450,00","118 (0,0242)","488.971,15"
42,     ,Regular,11/04/2016, ,11/04/2016, ,"286,34",NA,"58750,",3,"0,00","859,02","153.450,00","0 (0,00)","489.830,17"
43,     ,Regular,12/04/2016, ,12/04/2016, ,"590,70",NA,"58750,",3,"0,00","1.772,10","153.450,00","0 (0,00)","491.602,27"
44,     ,Regular,13/04/2016, ,13/04/2016, ,"773,95",NA,"58750,",3,"0,00","2.321,85","153.450,00","0 (0,00)","493.924,12"
45,     ,Regular,14/04/2016, ,14/04/2016, ,"-171,35",NA,"58750,",3,"0,00","-514,05","153.450,00","514 (0,104)","493.410,07"
46,     ,Regular,15/04/2016, ,15/04/2016, ,"450,93",NA,"58750,",3,"0,00","1.352,79","153.450,00","0 (0,00)","494.762,86"
47,     ,Regular,18/04/2016, ,18/04/2016, ,"367,24",NA,"58750,",3,"0,00","1.101,72","153.450,00","0 (0,00)","495.864,58"
48,     ,Regular,19/04/2016, ,19/04/2016, ,"323,33",NA,"58750,",3,"0,00","969,99","153.450,00","0 (0,00)","496.834,57"
49,     ,Regular,20/04/2016, ,20/04/2016, ,"324,72",NA,"58750,",3,"0,00","974,16","153.450,00","0 (0,00)","497.808,73"
50,     ,Regular,21/04/2016, ,21/04/2016, ,"63,53",NA,"58750,",3,"0,00","190,59","153.450,00","0 (0,00)","497.999,32"
51,     ,Regular,25/04/2016, ,25/04/2016, ,"-27,23",NA,"58750,",3,"0,00","-81,69","153.450,00","82 (0,0164)","497.917,63"
52,     ,Regular,27/04/2016, ,27/04/2016, ,"170,03",NA,"58750,",3,"0,00","510,09","153.450,00","0 (0,00)","498.427,72"
53,     ,Regular,28/04/2016, ,28/04/2016, ,"403,90",NA,"58750,",3,"0,00","1.211,70","153.450,00","0 (0,00)","499.639,42"
54,     ,Regular,29/04/2016, ,29/04/2016, ,"-1.498,34",NA,"58750,",3,"0,00","-4.495,02","153.450,00","4.495 (0,900)","495.144,40"
55,     ,Regular,02/05/2016, ,02/05/2016, ,"215,89",NA,"58750,",3,"0,00","647,67","153.450,00","3.847 (0,770)","495.792,07"
56,     ,Regular,03/05/2016, ,03/05/2016, ,"1.484,60",NA,"58750,",3,"0,00","4.453,80","153.450,00","0 (0,00)","500.245,87"
57,     ,Regular,04/05/2016, ,04/05/2016, ,"-1.048,63",NA,"58750,",3,"0,00","-3.145,89","153.450,00","3.146 (0,629)","497.099,98"
58,     ,Regular,05/05/2016, ,05/05/2016, ,"753,32",NA,"58750,",3,"0,00","2.259,96","153.450,00","886 (0,177)","499.359,94"
59,     ,Regular,06/05/2016, ,06/05/2016, ,"975,40",NA,"58750,",3,"0,00","2.926,20","153.450,00","0 (0,00)","502.286,14"
60,     ,Regular,09/05/2016, ,09/05/2016, ,"54,49",NA,"58750,",3,"0,00","163,47","153.450,00","0 (0,00)","502.449,61"
61,     ,Regular,10/05/2016, ,10/05/2016, ,"191,04",NA,"58750,",3,"0,00","573,12","153.450,00","0 (0,00)","503.022,73"
62,     ,Regular,13/05/2016, ,13/05/2016, ,"-272,06",NA,"58750,",3,"0,00","-816,18","153.450,00","816 (0,162)","502.206,55"
63,     ,Regular,16/05/2016, ,16/05/2016, ,"-24,96",NA,"58750,",3,"0,00","-74,88","153.450,00","891 (0,177)","502.131,67"
64,     ,Regular,17/05/2016, ,17/05/2016, ,"1.749,46",NA,"58750,",3,"0,00","5.248,38","153.450,00","0 (0,00)","507.380,05"
65,     ,Regular,18/05/2016, ,18/05/2016, ,"-1.619,08",NA,"58750,",3,"0,00","-4.857,24","153.450,00","4.857 (0,957)","502.522,81"
66,     ,Regular,19/05/2016, ,19/05/2016, ,"-129,56",NA,"58750,",3,"0,00","-388,68","153.450,00","5.246 (1,03)","502.134,13"
67,     ,Regular,20/05/2016, ,20/05/2016, ,"-380,31",NA,"58750,",3,"0,00","-1.140,93","153.450,00","6.387 (1,26)","500.993,20"
68,     ,Regular,23/05/2016, ,23/05/2016, ,"79,41",NA,"58750,",3,"0,00","238,23","153.450,00","6.149 (1,21)","501.231,43"
69,     ,Regular,24/05/2016, ,24/05/2016, ,"-490,65",NA,"58750,",3,"0,00","-1.471,95","153.450,00","7.621 (1,50)","499.759,48"
70,     ,Regular,25/05/2016, ,25/05/2016, ,"299,07",NA,"58750,",3,"0,00","897,21","153.450,00","6.723 (1,33)","500.656,69"
71,     ,Regular,26/05/2016, ,26/05/2016, ,"1.162,87",NA,"58750,",3,"0,00","3.488,61","153.450,00","3.235 (0,638)","504.145,30"
72,     ,Regular,27/05/2016, ,27/05/2016, ,"-609,91",NA,"58750,",3,"0,00","-1.829,73","153.450,00","5.064 (0,998)","502.315,57"
73,     ,Regular,30/05/2016, ,30/05/2016, ,"-151,69",NA,"58750,",3,"0,00","-455,07","153.450,00","5.520 (1,09)","501.860,50"
74,     ,Regular,31/05/2016, ,31/05/2016, ,"-1.431,93",NA,"58750,",3,"0,00","-4.295,79","153.450,00","9.815 (1,93)","497.564,71"
75,     ,Regular,01/06/2016, ,01/06/2016, ,"-213,14",NA,"58750,",3,"0,00","-639,42","153.450,00","10.455 (2,06)","496.925,29"
76,     ,Regular,02/06/2016, ,02/06/2016, ,"-175,65",NA,"58750,",3,"0,00","-526,95","153.450,00","10.982 (2,16)","496.398,34"
77,     ,Regular,03/06/2016, ,03/06/2016, ,"562,94",NA,"58750,",3,"0,00","1.688,82","153.450,00","9.293 (1,83)","498.087,16"
78,     ,Regular,06/06/2016, ,06/06/2016, ,"-46,51",NA,"58750,",3,"0,00","-139,53","153.450,00","9.432 (1,86)","497.947,63"
79,     ,Regular,07/06/2016, ,07/06/2016, ,"-74,63",NA,"58750,",3,"0,00","-223,89","153.450,00","9.656 (1,90)","497.723,74"
80,     ,Regular,08/06/2016, ,08/06/2016, ,"112,89",NA,"58750,",3,"0,00","338,67","153.450,00","9.318 (1,84)","498.062,41"
81,     ,Regular,09/06/2016, ,09/06/2016, ,"-102,43",NA,"58750,",3,"0,00","-307,29","153.450,00","9.625 (1,90)","497.755,12"
82,     ,Regular,10/06/2016, ,10/06/2016, ,"107,14",NA,"58750,",3,"0,00","321,42","153.450,00","9.304 (1,83)","498.076,54"
83,     ,Regular,13/06/2016, ,13/06/2016, ,"14,91",NA,"58750,",3,"0,00","44,73","153.450,00","9.259 (1,82)","498.121,27"
84,     ,Regular,14/06/2016, ,14/06/2016, ,"709,57",NA,"58750,",3,"0,00","2.128,71","153.450,00","7.130 (1,41)","500.249,98"
85,     ,Regular,15/06/2016, ,15/06/2016, ,"0,00",NA,"58750,",3,"0,00","0,00","153.450,00","7.130 (1,41)","500.249,98"
86,     ,Regular,16/06/2016, ,16/06/2016, ,"-11,93",NA,"58750,",3,"0,00","-35,79","153.450,00","7.166 (1,41)","500.214,19"
87,     ,Regular,17/06/2016, ,17/06/2016, ,"232,43",NA,"58750,",3,"0,00","697,29","153.450,00","6.469 (1,27)","500.911,48"
88,     ,Regular,20/06/2016, ,20/06/2016, ,"-249,16",NA,"58750,",3,"0,00","-747,48","153.450,00","7.216 (1,42)","500.164,00"
89,     ,Regular,21/06/2016, ,21/06/2016, ,"-224,73",NA,"58750,",3,"0,00","-674,19","153.450,00","7.890 (1,56)","499.489,81"
90,     ,Regular,22/06/2016, ,22/06/2016, ,"-495,35",NA,"58750,",3,"0,00","-1.486,05","153.450,00","9.376 (1,85)","498.003,76"
91,     ,Regular,23/06/2016, ,23/06/2016, ,"948,48",NA,"58750,",3,"0,00","2.845,44","153.450,00","6.531 (1,29)","500.849,20"
92,     ,Regular,24/06/2016, ,24/06/2016, ,"1.479,24",NA,"58750,",3,"0,00","4.437,72","153.450,00","2.093 (0,413)","505.286,92"
93,     ,Regular,27/06/2016, ,27/06/2016, ,"226,19",NA,"58750,",3,"0,00","678,57","153.450,00","1.415 (0,279)","505.965,49"
94,     ,Regular,28/06/2016, ,28/06/2016, ,"-868,24",NA,"58750,",3,"0,00","-2.604,72","153.450,00","4.019 (0,792)","503.360,77"
95,     ,Regular,29/06/2016, ,29/06/2016, ,"1.277,50",NA,"58750,",3,"0,00","3.832,50","153.450,00","187 (0,0368)","507.193,27"
96,     ,Regular,30/06/2016, ,30/06/2016, ,"1.497,95",NA,"58750,",3,"0,00","4.493,85","153.450,00","0 (0,00)","511.687,12"
97,     ,Regular,01/07/2016, ,01/07/2016, ,"243,90",NA,"58750,",3,"0,00","731,70","153.450,00","0 (0,00)","512.418,82"
98,     ,Regular,04/07/2016, ,04/07/2016, ,"798,19",NA,"58750,",3,"0,00","2.394,57","153.450,00","0 (0,00)","514.813,39"
99,     ,Regular,05/07/2016, ,05/07/2016, ,"-306,06",NA,"58750,",3,"0,00","-918,18","153.450,00","918 (0,178)","513.895,21"
100,     ,Regular,06/07/2016, ,06/07/2016, ,"358,52",NA,"58750,",3,"0,00","1.075,56","153.450,00","0 (0,00)","514.970,77"
101,     ,Regular,07/07/2016, ,07/07/2016, ,"-665,11",NA,"58750,",3,"0,00","-1.995,33","153.450,00","1.995 (0,387)","512.975,44"
102,     ,Regular,08/07/2016, ,08/07/2016, ,"232,43",NA,"58750,",3,"0,00","697,29","153.450,00","1.298 (0,252)","513.672,73"
103,     ,Regular,11/07/2016, ,11/07/2016, ,"-684,80",NA,"58750,",3,"0,00","-2.054,40","153.450,00","3.352 (0,651)","511.618,33"
104,     ,Regular,12/07/2016, ,12/07/2016, ,"-314,88",NA,"58750,",3,"0,00","-944,64","153.450,00","4.297 (0,834)","510.673,69"
105,     ,Regular,13/07/2016, ,13/07/2016, ,"908,18",NA,"58750,",3,"0,00","2.724,54","153.450,00","1.573 (0,305)","513.398,23"
106,     ,Regular,14/07/2016, ,14/07/2016, ,"108,39",NA,"58750,",3,"0,00","325,17","153.450,00","1.247 (0,242)","513.723,40"
107,     ,Regular,15/07/2016, ,15/07/2016, ,"1.218,65",NA,"58750,",3,"0,00","3.655,95","153.450,00","0 (0,00)","517.379,35"
108,     ,Regular,18/07/2016, ,18/07/2016, ,"-112,14",NA,"58750,",3,"0,00","-336,42","153.450,00","336 (0,0650)","517.042,93"
109,     ,Regular,19/07/2016, ,19/07/2016, ,"-77,77",NA,"58750,",3,"0,00","-233,31","153.450,00","570 (0,110)","516.809,62"
110,     ,Regular,20/07/2016, ,20/07/2016, ,"562,09",NA,"58750,",3,"0,00","1.686,27","153.450,00","0 (0,00)","518.495,89"
111,     ,Regular,22/07/2016, ,22/07/2016, ,"-617,25",NA,"58750,",3,"0,00","-1.851,75","153.450,00","1.852 (0,357)","516.644,14"
112,     ,Regular,25/07/2016, ,25/07/2016, ,"-366,44",NA,"58750,",3,"0,00","-1.099,32","153.450,00","2.951 (0,569)","515.544,82"
113,     ,Regular,26/07/2016, ,26/07/2016, ,"-66,87",NA,"58750,",3,"0,00","-200,61","153.450,00","3.152 (0,608)","515.344,21"
114,     ,Regular,27/07/2016, ,27/07/2016, ,"2.509,88",NA,"58750,",3,"0,00","7.529,64","153.450,00","0 (0,00)","522.873,85"
115,     ,Regular,28/07/2016, ,28/07/2016, ,"-129,34",NA,"58750,",3,"0,00","-388,02","153.450,00","388 (0,0742)","522.485,83"
116,     ,Regular,29/07/2016, ,29/07/2016, ,"2.632,85",NA,"58750,",3,"0,00","7.898,55","153.450,00","0 (0,00)","530.384,38"
117,     ,Regular,01/08/2016, ,01/08/2016, ,"-492,39",NA,"58750,",3,"0,00","-1.477,17","153.450,00","1.477 (0,279)","528.907,21"
118,     ,Regular,02/08/2016, ,02/08/2016, ,"1.547,92",NA,"58750,",3,"0,00","4.643,76","153.450,00","0 (0,00)","533.550,97"
119,     ,Regular,03/08/2016, ,03/08/2016, ,"160,57",NA,"58750,",3,"0,00","481,71","153.450,00","0 (0,00)","534.032,68"
120,     ,Regular,04/08/2016, ,04/08/2016, ,"70,84",NA,"58750,",3,"0,00","212,52","153.450,00","0 (0,00)","534.245,20"
121,     ,Regular,08/08/2016, ,08/08/2016, ,"253,51",NA,"58750,",3,"0,00","760,53","153.450,00","0 (0,00)","535.005,73"
122,     ,Regular,09/08/2016, ,09/08/2016, ,"-567,29",NA,"58750,",3,"0,00","-1.701,87","153.450,00","1.702 (0,318)","533.303,86"
123,     ,Regular,10/08/2016, ,10/08/2016, ,"679,51",NA,"58750,",3,"0,00","2.038,53","153.450,00","0 (0,00)","535.342,39"
124,     ,Regular,11/08/2016, ,11/08/2016, ,"40,84",NA,"58750,",3,"0,00","122,52","153.450,00","0 (0,00)","535.464,91"
125,     ,Regular,12/08/2016, ,12/08/2016, ,"-80,40",NA,"58750,",3,"0,00","-241,20","153.450,00","241 (0,0450)","535.223,71"
126,     ,Regular,15/08/2016, ,15/08/2016, ,"-359,42",NA,"58750,",3,"0,00","-1.078,26","153.450,00","1.319 (0,246)","534.145,45"
127,     ,Regular,16/08/2016, ,16/08/2016, ,"-689,99",NA,"58750,",3,"0,00","-2.069,97","153.450,00","3.389 (0,633)","532.075,48"
128,     ,Regular,17/08/2016, ,17/08/2016, ,"-289,92",NA,"58750,",3,"0,00","-869,76","153.450,00","4.259 (0,795)","531.205,72"
129,     ,Regular,18/08/2016, ,18/08/2016, ,"-29,04",NA,"58750,",3,"0,00","-87,12","153.450,00","4.346 (0,812)","531.118,60"
130,     ,Regular,19/08/2016, ,19/08/2016, ,"-994,87",NA,"58750,",3,"0,00","-2.984,61","153.450,00","7.331 (1,37)","528.133,99"
131,     ,Regular,22/08/2016, ,22/08/2016, ,"831,67",NA,"58750,",3,"0,00","2.495,01","153.450,00","4.836 (0,903)","530.629,00"
132,     ,Regular,23/08/2016, ,23/08/2016, ,"329,13",NA,"58750,",3,"0,00","987,39","153.450,00","3.849 (0,719)","531.616,39"
133,     ,Regular,24/08/2016, ,24/08/2016, ,"-102,43",NA,"58750,",3,"0,00","-307,29","153.450,00","4.156 (0,776)","531.309,10"
134,     ,Regular,25/08/2016, ,25/08/2016, ,"270,46",NA,"58750,",3,"0,00","811,38","153.450,00","3.344 (0,625)","532.120,48"
135,     ,Regular,26/08/2016, ,26/08/2016, ,"-645,41",NA,"58750,",3,"0,00","-1.936,23","153.450,00","5.281 (0,986)","530.184,25"
136,     ,Regular,29/08/2016, ,29/08/2016, ,"-526,41",NA,"58750,",3,"0,00","-1.579,23","153.450,00","6.860 (1,28)","528.605,02"
137,     ,Regular,30/08/2016, ,30/08/2016, ,"-259,27",NA,"58750,",3,"0,00","-777,81","153.450,00","7.638 (1,43)","527.827,21"
138,     ,Regular,31/08/2016, ,31/08/2016, ,"79,41",NA,"58750,",3,"0,00","238,23","153.450,00","7.399 (1,38)","528.065,44"
139,     ,Regular,01/09/2016, ,01/09/2016, ,"374,98",NA,"58750,",3,"0,00","1.124,94","153.450,00","6.275 (1,17)","529.190,38"
140,     ,Regular,02/09/2016, ,02/09/2016, ,"-484,79",NA,"58750,",3,"0,00","-1.454,37","153.450,00","7.729 (1,44)","527.736,01"
141,     ,Regular,05/09/2016, ,05/09/2016, ,"-620,62",NA,"58750,",3,"0,00","-1.861,86","153.450,00","9.591 (1,79)","525.874,15"
142,     ,Regular,06/09/2016, ,06/09/2016, ,"3.096,68",NA,"58750,",3,"0,00","9.290,04","153.450,00","301 (0,0562)","535.164,19"
143,     ,Regular,09/09/2016, ,09/09/2016, ,"-465,64",NA,"58750,",3,"0,00","-1.396,92","153.450,00","1.698 (0,317)","533.767,27"
144,     ,Regular,12/09/2016, ,12/09/2016, ,"-1.241,01",NA,"58750,",3,"0,00","-3.723,03","153.450,00","5.421 (1,01)","530.044,24"
145,     ,Regular,15/09/2016, ,15/09/2016, ,"474,46",NA,"58750,",3,"0,00","1.423,38","153.450,00","3.997 (0,747)","531.467,62"
146,     ,Regular,16/09/2016, ,16/09/2016, ,"-81,62",NA,"58750,",3,"0,00","-244,86","153.450,00","4.242 (0,792)","531.222,76"
147,     ,Regular,19/09/2016, ,19/09/2016, ,"275,45",NA,"58750,",3,"0,00","826,35","153.450,00","3.416 (0,638)","532.049,11"
148,     ,Regular,20/09/2016, ,20/09/2016, ,"29,30",NA,"58750,",3,"0,00","87,90","153.450,00","3.328 (0,621)","532.137,01"
149,     ,Regular,21/09/2016, ,21/09/2016, ,"-819,77",NA,"58750,",3,"0,00","-2.459,31","153.450,00","5.787 (1,08)","529.677,70"
150,     ,Regular,22/09/2016, ,22/09/2016, ,"991,35",NA,"58750,",3,"0,00","2.974,05","153.450,00","2.813 (0,525)","532.651,75"
151,     ,Regular,23/09/2016, ,23/09/2016, ,"-557,40",NA,"58750,",3,"0,00","-1.672,20","153.450,00","4.485 (0,838)","530.979,55"
152,     ,Regular,26/09/2016, ,26/09/2016, ,"-390,21",NA,"58750,",3,"0,00","-1.170,63","153.450,00","5.656 (1,06)","529.808,92"
153,     ,Regular,27/09/2016, ,27/09/2016, ,"674,26",NA,"58750,",3,"0,00","2.022,78","153.450,00","3.633 (0,679)","531.831,70"
154,     ,Regular,28/09/2016, ,28/09/2016, ,"-517,16",NA,"58750,",3,"0,00","-1.551,48","153.450,00","5.185 (0,968)","530.280,22"
155,     ,Regular,29/09/2016, ,29/09/2016, ,"1.003,63",NA,"58750,",3,"0,00","3.010,89","153.450,00","2.174 (0,406)","533.291,11"
156,     ,Regular,30/09/2016, ,30/09/2016, ,"412,48",NA,"58750,",3,"0,00","1.237,44","153.450,00","936 (0,175)","534.528,55"
157,     ,Regular,03/10/2016, ,03/10/2016, ,"-300,04",NA,"58750,",3,"0,00","-900,12","153.450,00","1.836 (0,343)","533.628,43"
158,     ,Regular,04/10/2016, ,04/10/2016, ,"-902,20",NA,"58750,",3,"0,00","-2.706,60","153.450,00","4.543 (0,848)","530.921,83"
159,     ,Regular,05/10/2016, ,05/10/2016, ,"-222,00",NA,"58750,",3,"0,00","-666,00","153.450,00","5.209 (0,973)","530.255,83"
160,     ,Regular,06/10/2016, ,06/10/2016, ,"-129,34",NA,"58750,",3,"0,00","-388,02","153.450,00","5.597 (1,05)","529.867,81"
161,     ,Regular,13/10/2016, ,13/10/2016, ,"-219,38",NA,"58750,",3,"0,00","-658,14","153.450,00","6.255 (1,17)","529.209,67"
162,     ,Regular,14/10/2016, ,14/10/2016, ,"-317,41",NA,"58750,",3,"0,00","-952,23","153.450,00","7.207 (1,35)","528.257,44"
163,     ,Regular,17/10/2016, ,17/10/2016, ,"-5,80",NA,"58750,",3,"0,00","-17,40","153.450,00","7.225 (1,35)","528.240,04"
164,     ,Regular,18/10/2016, ,18/10/2016, ,"74,85",NA,"58750,",3,"0,00","224,55","153.450,00","7.000 (1,31)","528.464,59"
165,     ,Regular,19/10/2016, ,19/10/2016, ,"282,03",NA,"58750,",3,"0,00","846,09","153.450,00","6.154 (1,15)","529.310,68"
166,     ,Regular,20/10/2016, ,20/10/2016, ,"-899,77",NA,"58750,",3,"0,00","-2.699,31","153.450,00","8.854 (1,65)","526.611,37"
167,     ,Regular,21/10/2016, ,21/10/2016, ,"-599,72",NA,"58750,",3,"0,00","-1.799,16","153.450,00","10.653 (1,99)","524.812,21"
168,     ,Regular,24/10/2016, ,24/10/2016, ,"-221,33",NA,"58750,",3,"0,00","-663,99","153.450,00","11.317 (2,11)","524.148,22"
169,     ,Regular,25/10/2016, ,25/10/2016, ,"-710,86",NA,"58750,",3,"0,00","-2.132,58","153.450,00","13.449 (2,51)","522.015,64"
170,     ,Regular,27/10/2016, ,27/10/2016, ,"304,90",NA,"58750,",3,"0,00","914,70","153.450,00","12.535 (2,34)","522.930,34"
171,     ,Regular,28/10/2016, ,28/10/2016, ,"929,77",NA,"58750,",3,"0,00","2.789,31","153.450,00","9.745 (1,82)","525.719,65"
172,     ,Regular,31/10/2016, ,31/10/2016, ,"437,58",NA,"58750,",3,"0,00","1.312,74","153.450,00","8.433 (1,57)","527.032,39"
173,     ,Regular,01/11/2016, ,01/11/2016, ,"1.479,76",NA,"58750,",3,"0,00","4.439,28","153.450,00","3.993 (0,746)","531.471,67"
174,     ,Regular,02/11/2016, ,02/11/2016, ,"834,25",NA,"58750,",3,"0,00","2.502,75","153.450,00","1.490 (0,278)","533.974,42"
175,     ,Regular,03/11/2016, ,03/11/2016, ,"797,70",NA,"58750,",3,"0,00","2.393,10","153.450,00","0 (0,00)","536.367,52"
176,     ,Regular,04/11/2016, ,04/11/2016, ,"-119,89",NA,"58750,",3,"0,00","-359,67","153.450,00","360 (0,0671)","536.007,85"
177,     ,Regular,08/11/2016, ,08/11/2016, ,"216,48",NA,"58750,",3,"0,00","649,44","153.450,00","0 (0,00)","536.657,29"
178,     ,Regular,09/11/2016, ,09/11/2016, ,"7.312,46",NA,"58750,",3,"0,00","21.937,38","153.450,00","0 (0,00)","558.594,67"
179,     ,Regular,10/11/2016, ,10/11/2016, ,"2.831,36",NA,"58750,",3,"0,00","8.494,08","153.450,00","0 (0,00)","567.088,75"
180,     ,Regular,14/11/2016, ,14/11/2016, ,"253,53",NA,"58750,",3,"0,00","760,59","153.450,00","0 (0,00)","567.849,34"
181,     ,Regular,15/11/2016, ,15/11/2016, ,"0,38",NA,"58750,",3,"0,00","1,14","153.450,00","0 (0,00)","567.850,48"
